n;swaps;comparisons
100;243;536
200;539;1275
300;854;2081
400;1183;2921
500;1536;3781
600;1883;4693
700;2244;5663
800;2620;6576
900;3003;7577
1000;3381;8557
1100;3773;9530
1200;4169;10576
1300;4573;11563
1400;4967;12652
1500;5380;13718
1600;5813;14746
1700;6232;15836
1800;6654;16988
1900;7096;17959
2000;7529;18910
2100;7959;20154
2200;8429;21080
2300;8843;22353
2400;9313;23327
2500;9755;24573
2600;10211;25590
2700;10686;26772
2800;11140;27875
2900;11600;29044
3000;12072;30074
3100;12554;31274
3200;13028;32302
3300;13477;33535
3400;13989;34430
3500;14465;35972
3600;14908;37123
3700;15397;38410
3800;15883;39460
3900;16374;40813
4000;16865;41769
4100;17385;42805
4200;17855;44225
4300;18360;45515
4400;18876;46237
4500;19362;47607
4600;19867;48773
4700;20363;50135
4800;20872;51388
4900;21361;52427
5000;21914;53617
5100;22406;54708
5200;22936;55955
5300;23437;57176
5400;23958;58306
5500;24428;59789
5600;24963;61003
5700;25476;62192
5800;26032;63270
5900;26505;65019
6000;27062;65562
6100;27611;66803
6200;28149;67890
6300;28635;69417
6400;29140;70960
6500;29709;71953
6600;30262;72954
6700;30774;74601
6800;31320;75663
6900;31886;76426
7000;32410;78168
7100;32921;79305
7200;33504;80847
7300;34022;81736
7400;34586;82788
7500;35149;84141
7600;35687;85604
7700;36250;86909
7800;36801;87926
7900;37366;89057
8000;37882;90647
8100;38469;91637
8200;39017;92885
8300;39571;94113
8400;40163;95303
8500;40649;97126
8600;41262;98118
8700;41798;99103
8800;42364;100479
8900;42921;101745
9000;43477;103088
9100;44042;104288
9200;44620;105511
9300;45214;106746
9400;45779;107856
9500;46272;109616
9600;46847;110950
9700;47440;111444
9800;47997;113726
9900;48596;114544
10000;49097;115629
10100;49698;116946
10200;50215;119521
10300;50834;119624
10400;51416;121101
10500;51968;122010
10600;52526;123755
10700;53123;124702
10800;53675;125716
10900;54335;127018
11000;54882;127837
11100;55355;130327
11200;55950;131575
11300;56595;131900
11400;57110;134517
11500;57649;135464
11600;58281;135716
11700;58826;137851
11800;59418;138896
11900;59949;140622
12000;60544;141529
12100;61142;142655
12200;61732;144194
12300;62326;145128
12400;62912;146040
12500;63469;147555
12600;64036;149290
12700;64609;150811
12800;65182;151842
12900;65831;152474
13000;66321;154894
13100;66906;156393
13200;67497;157255
13300;68107;158373
13400;68679;159843
13500;69221;160850
13600;69839;162924
13700;70485;163598
13800;71088;164224
13900;71610;166922
14000;72223;167528
14100;72780;169126
14200;73381;170775
14300;74002;171419
14400;74558;173062
14500;75198;174287
14600;75800;174672
14700;76344;176986
14800;76947;178194
14900;77615;178989
15000;78186;180416
15100;78799;181803
15200;79360;182769
15300;79903;184761
15400;80560;185800
15500;81144;187660
15600;81766;188907
15700;82339;190652
15800;83021;191114
15900;83600;191980
16000;84136;195059
16100;84806;194966
16200;85422;196297
16300;86060;197373
16400;86658;198998
16500;87252;200932
16600;87880;201773
16700;88480;203251
16800;89089;203415
16900;89637;205714
17000;90331;206460
17100;90976;207205
17200;91559;209477
17300;92179;210399
17400;92817;211955
17500;93417;213597
17600;94016;214667
17700;94655;216064
17800;95271;217197
17900;95909;218338
18000;96538;220325
18100;97133;220715
18200;97745;222886
18300;98355;224328
18400;99051;224561
18500;99582;227569
18600;100276;228005
18700;100835;230523
18800;101470;230682
18900;102123;232123
19000;102694;234995
19100;103476;234255
19200;104019;237264
19300;104633;237820
19400;105359;237511
19500;105976;240547
19600;106641;240261
19700;107146;243465
19800;107791;244509
19900;108486;244560
20000;109104;247303
20100;109686;248895
20200;110323;250174
20300;111070;249552
20400;111637;252512
