n;swaps;comparisons
35600;149864;522553
35700;147479;526879
35800;150358;530659
35900;147566;531019
36000;150407;530065
36100;150521;532071
36200;151682;536235
36300;150025;538261
36400;153413;537745
36500;153141;539505
36600;152582;543436
36700;154237;543613
36800;155103;544508
36900;155975;545822
37000;154912;548991
37100;156036;551589
37200;156994;548802
37300;156398;548887
37400;156224;550966
37500;157902;558857
37600;158991;559070
37700;157233;559068
37800;158442;560479
37900;158893;561436
38000;160655;564937
38100;158798;565293
38200;161105;569418
38300;162263;564234
38400;162046;570280
38500;161445;568436
38600;160487;571704
38700;162819;574711
38800;162198;573803
38900;161355;579633
39000;164287;574758
39100;164159;580143
39200;164075;582724
39300;166203;582299
39400;165242;585213
39500;165825;583776
39600;163783;589820
39700;168756;591870
39800;166979;589113
39900;166643;591688
40000;168210;590925
40100;164926;598430
40200;166987;596662
40300;170152;595274
40400;168050;599280
40500;167864;601867
40600;170990;600639
40700;170417;607409
40800;169998;605911
40900;170243;610252
41000;172112;608882
41100;173553;609867
41200;172405;611193
41300;171749;610269
41400;173362;615265
41500;172096;621023
41600;175597;617196
41700;175236;618405
41800;179312;620193
41900;176775;619176
42000;173671;620205
42100;175083;628512
42200;175002;625311
42300;176704;630044
42400;177417;629362
42500;175916;634824
42600;175822;634864
42700;177747;633686
42800;182740;635813
42900;177426;631685
43000;180779;639488
43100;182216;639182
43200;180178;644000
43300;183017;642288
43400;181289;644420
43500;180050;650090
43600;182317;647460
43700;182568;648587
43800;183898;648246
43900;183533;652978
44000;183308;657941
44100;185512;652664
44200;184382;656740
44300;184020;658853
44400;187257;657851
44500;184347;663779
44600;187301;664243
44700;185178;668377
44800;185500;667698
44900;187607;669153
45000;187601;669656
45100;188083;672677
45200;186113;678017
45300;188886;672169
45400;188871;673687
45500;189894;681837
45600;191603;676697
45700;192142;677754
45800;192431;678843
45900;191488;685777
46000;192986;683640
46100;192221;687096
46200;192778;693361
46300;194402;692225
46400;194986;691041
46500;195671;694062
46600;193827;696633
46700;194519;692588
46800;196059;695620
46900;196704;697266
47000;195896;696878
47100;197364;701532
47200;199486;702493
47300;196060;705766
47400;197816;705610
47500;197996;699725
47600;198255;705924
47700;199095;706917
47800;198081;711452
47900;199984;714391
48000;198760;714967
48100;201436;716363
48200;200151;715474
48300;202209;716837
48400;204120;720419
48500;204812;723593
48600;201242;725296
48700;202144;721933
48800;207034;723103
48900;201543;728567
49000;203363;730148
49100;205882;730559
49200;205966;733214
49300;204179;731576
49400;204537;733692
49500;204781;733244
49600;208280;732234
49700;208098;739324
49800;206176;739622
49900;207706;747492
50000;207921;740739
50100;206958;745711
50200;208740;749222
50300;208136;746997
50400;210267;749821
50500;209503;751307
50600;210243;751551
50700;212491;755816
50800;212504;754861
50900;211217;760159
51000;213831;762510
51100;213229;763740
51200;212575;767567
51300;212444;759736
51400;217062;770157
51500;216846;763244
51600;217558;765789
51700;215798;772836
51800;216996;774623
51900;216090;773562
52000;214481;777286
52100;217327;777134
52200;216963;774220
52300;216486;774774
52400;218029;780903
52500;216257;780259
52600;218675;784625
52700;217665;784642
52800;219852;791532
52900;220113;790234
53000;219715;784712
53100;220691;787854
53200;220679;791045
53300;225230;792995
53400;224236;796442
53500;222162;793821
53600;224061;797278
53700;224678;797909
53800;223674;799869
53900;221899;800459
54000;226458;804813
54100;225682;808611
54200;226075;808279
54300;229125;813052
54400;228296;814773
54500;225834;811601
54600;229813;810765
54700;226800;814745
54800;228833;816171
54900;229186;816591
55000;228909;815228
55100;230041;823636
55200;227343;826330
55300;227443;829251
55400;230666;826108
55500;233428;825771
55600;233637;825609
55700;231857;826990
55800;232792;831173
55900;231864;832576
56000;233855;830627
56100;232242;838945
56200;234998;842947
56300;231607;845184
56400;234671;839287
56500;236864;836612
56600;235916;837950
56700;236739;842077
56800;234717;845178
56900;236941;848151
57000;234816;845779
57100;235173;857242
57200;238682;847184
57300;237050;856162
57400;235644;854816
57500;238041;854145
57600;242956;855430
57700;240990;859186
57800;244038;865686
57900;241791;869714
58000;241955;862907
58100;240032;865469
58200;240745;868437
58300;243830;869334
58400;245427;863879
58500;244733;874502
58600;244346;874663
58700;247897;875650
58800;240488;874042
58900;245255;879063
59000;244287;887361
59100;245675;881868
59200;245238;884942
59300;245431;884327
59400;244754;889856
59500;247353;890447
59600;252447;887566
59700;248565;890888
59800;247929;893275
59900;251226;897918
60000;247046;889911
60100;249557;899633
60200;249262;900254
60300;251567;902099
60400;255659;903062
60500;252063;910143
60600;251087;902457
60700;253328;907162
60800;255991;905338
60900;253222;912476
61000;254227;915987
61100;254450;911476
61200;256914;914786
61300;255163;918629
61400;253779;914573
61500;256668;913756
61600;257210;917433
61700;253847;924132
61800;256851;919317
61900;253056;930833
62000;255761;928775
62100;256174;923737
62200;259126;930014
62300;261430;930093
62400;258369;929955
62500;264498;940427
62600;263032;935115
62700;261096;936244
62800;257179;938190
62900;261158;935082
63000;263301;937710
63100;265574;935281
63200;259978;940779
63300;265232;943272
63400;262305;946292
63500;266089;950745
63600;261928;949552
63700;264711;955118
63800;265034;952666
63900;267129;952939
64000;264654;955980
64100;264023;957840
64200;270114;956941
64300;267627;959475
64400;267628;963466
64500;268954;964905
64600;272434;968100
64700;271252;962259
64800;270621;970638
64900;273599;970855
65000;267812;968372
65100;269137;977692
65200;268413;968757
65300;269080;971220
65400;269876;975716
65500;274834;978548
65600;272850;981375
65700;273257;982016
65800;271238;989645
