n;swaps;comparisons
35700;101910;421962
35800;102270;423402
35900;102467;424512
36000;102725;425698
36100;103077;426859
36200;103330;428011
36300;103626;429521
36400;103824;430712
36500;104109;431933
36600;104385;433320
36700;104685;434239
36800;104996;435646
36900;105200;436849
37000;105552;438337
37100;105750;439423
37200;106116;440822
37300;106371;441905
37400;106712;443351
37500;106906;444212
37600;107161;445576
37700;107473;446970
37800;107778;448216
37900;108049;449484
38000;108285;450733
38100;108606;452044
38200;108871;452991
38300;109178;454537
38400;109381;455792
38500;109708;456869
38600;109986;458244
38700;110276;459534
38800;110578;460796
38900;110820;461877
39000;111118;463322
39100;111360;464368
39200;111630;465512
39300;111844;466494
39400;112224;467947
39500;112491;469452
39600;112740;470533
39700;113019;471710
39800;113273;472864
39900;113541;473924
40000;113823;475581
40100;114125;476586
40200;114350;477631
40300;114657;478908
40400;114966;480199
40500;115240;481555
40600;115464;482593
40700;115783;483930
40800;116014;485093
40900;116336;486379
41000;116629;487510
41100;116850;488725
41200;117113;489881
41300;117452;491144
41400;117661;492532
41500;118009;493802
41600;118279;494892
41700;118530;496142
41800;118792;497318
41900;119018;498507
42000;119397;499681
42100;119567;500940
42200;119935;502157
42300;120140;503188
42400;120484;504644
42500;120787;506107
42600;121044;507059
42700;121257;508346
42800;121535;509276
42900;121847;510812
43000;122068;511898
43100;122377;512968
43200;122633;513961
43300;122889;515418
43400;123207;516730
43500;123476;518044
43600;123815;519380
43700;123983;520385
43800;124341;521694
43900;124608;522701
44000;124869;524088
44100;125114;525060
44200;125443;526729
44300;125646;527924
44400;125916;528997
44500;126159;530089
44600;126525;531468
44700;126799;532481
44800;127062;533777
44900;127302;535199
45000;127642;536033
45100;127870;537485
45200;128148;538780
45300;128436;540028
45400;128738;541320
45500;129005;542442
45600;129221;543578
45700;129550;544862
45800;129845;546299
45900;130006;547114
46000;130330;548413
46100;130673;549743
46200;130918;551121
46300;131207;552231
46400;131415;553547
46500;131688;554473
46600;132014;555957
46700;132242;556983
46800;132557;558421
46900;132884;559790
47000;133139;560736
47100;133310;561902
47200;133669;563208
47300;133886;564462
47400;134200;565745
47500;134508;566948
47600;134804;568250
47700;135105;569291
47800;135326;570621
47900;135643;571827
48000;135900;573069
48100;136143;574515
48200;136402;575460
48300;136558;576587
48400;136920;577850
48500;137318;578872
48600;137482;580268
48700;137859;581677
48800;138104;583053
48900;138375;584275
49000;138534;585167
49100;138921;586851
49200;139266;587819
49300;139452;588988
49400;139615;590346
49500;140089;591839
49600;140250;592893
49700;140607;594261
49800;140871;595594
49900;141076;596620
50000;141395;597766
50100;141641;599120
50200;141927;600130
50300;142250;601638
50400;142510;603016
50500;142766;604161
50600;143108;605237
50700;143312;606149
50800;143668;607654
50900;143899;609195
51000;144100;610246
51100;144424;611660
51200;144639;612836
51300;145014;614032
51400;145234;615063
51500;145526;616520
51600;145833;617497
51700;146052;619142
51800;146412;620074
51900;146636;621630
52000;146992;623049
52100;147226;624284
52200;147558;625332
52300;147780;626759
52400;148136;627850
52500;148338;628811
52600;148583;630577
52700;148794;631425
52800;149258;633145
52900;149442;634305
53000;149687;635350
53100;149953;636951
53200;150268;637848
53300;150544;639259
53400;150883;640723
53500;151221;641939
53600;151393;643055
53700;151585;644371
53800;151907;645162
53900;152273;647007
54000;152523;648320
54100;152787;649337
54200;153111;650797
54300;153343;651835
54400;153585;653370
54500;153983;654621
54600;154160;655801
54700;154494;656762
54800;154786;657919
54900;155048;659366
55000;155304;660640
55100;155585;661758
55200;155841;663431
55300;156131;664772
55400;156418;665878
55500;156660;667180
55600;156931;668246
55700;157184;669418
55800;157476;670840
55900;157746;672270
56000;158027;673513
56100;158353;674703
56200;158607;676050
56300;158880;677104
56400;159267;678354
56500;159540;679855
