n;swaps;comparisons
100;664;460
200;1528;1020
300;2580;1760
400;3456;2240
500;4708;3192
600;5760;3820
700;6480;3992
800;7712;4880
900;9016;5856
1000;10416;6884
1100;11892;8000
1200;12720;8240
1300;13060;7820
1400;14360;8684
1500;15660;9604
1600;17024;10560
1700;18424;11540
1800;19832;12612
1900;21332;13648
2000;22832;14768
2100;24384;15916
2200;25984;17100
2300;27584;18372
2400;27840;17680
2500;28040;16992
2600;28720;16940
2700;30120;17820
2800;31520;18768
2900;32920;19700
3000;34320;20708
3100;35748;21736
3200;37248;22720
3300;38748;23736
3400;40248;24780
3500;41748;25872
3600;43264;27024
3700;44864;28076
3800;46464;29196
3900;48064;30348
4000;49664;31536
4100;51268;32804
4200;52968;33932
4300;54668;35148
4400;56368;36400
4500;58068;37680
4600;59768;39044
4700;60180;38440
4800;60480;37760
4900;60780;37104
5000;61080;36484
5100;61380;35920
5200;62640;36480
5300;64140;37380
5400;65640;38340
5500;67140;39312
5600;68640;40336
5700;70140;41312
5800;71640;42300
5900;73140;43368
6000;74640;44416
6100;76140;45532
6200;77696;46572
6300;79296;47556
6400;80896;48640
6500;82496;49656
6600;84096;50772
6700;85696;51876
6800;87296;52960
6900;88896;54112
7000;90496;55244
7100;92096;56456
7200;93728;57648
7300;95428;58724
7400;97128;59852
7500;98828;60992
7600;100528;62192
7700;102228;63432
7800;103928;64596
7900;105628;65816
8000;107328;67072
8100;109028;68352
8200;110736;69708
8300;112536;70844
8400;114336;72064
8500;116136;73312
8600;117936;74596
8700;119736;75968
8800;121536;77200
8900;123336;78512
9000;125136;79860
9100;126936;81240
9200;128736;82688
9300;129360;82272
9400;129760;81580
9500;130160;80936
9600;130560;80320
9700;130960;79736
9800;131360;79108
9900;131760;78500
10000;132160;77968
10100;132560;77420
10200;132960;76940
10300;134080;77272
10400;135680;78160
10500;137280;79132
10600;138880;80060
10700;140480;81076
10800;142080;82080
10900;143680;83060
11000;145280;84124
11100;146880;85152
11200;148480;86272
11300;150080;87344
11400;151680;88324
11500;153280;89360
11600;154880;90400
11700;156480;91500
11800;158080;92636
11900;159680;93708
12000;161280;94832
12100;162880;95976
12200;164480;97164
12300;166092;98396
12400;167792;99344
12500;169492;100360
12600;171192;101412
12700;172892;102496
12800;174592;103680
12900;176292;104696
13000;177992;105812
13100;179692;106960
13200;181392;108144
13300;183092;109396
13400;184792;110452
13500;186492;111564
13600;188192;112720
13700;189892;113896
13800;191592;115124
13900;193292;116288
14000;194992;117488
14100;196692;118748
14200;198392;120012
14300;200092;121332
14400;201856;122496
14500;203656;123576
14600;205456;124748
14700;207256;125884
14800;209056;127104
14900;210856;128300
15000;212656;129484
15100;214456;130756
15200;216256;131984
15300;218056;133296
15400;219856;134564
15500;221656;135744
15600;223456;136992
15700;225256;138224
15800;227056;139532
15900;228856;140860
16000;230656;142144
16100;232456;143460
16200;234256;144804
16300;236056;146196
16400;237872;147616
16500;239772;148768
16600;241672;149988
16700;243572;151240
16800;245472;152528
16900;247372;153896
17000;249272;155124
17100;251172;156440
17200;253072;157792
17300;254972;159172
17400;256872;160636
17500;258772;161880
17600;260672;163200
17700;262572;164544
17800;264472;165924
17900;266372;167360
18000;268272;168720
18100;270172;170120
18200;272072;171580
18300;273972;173052
18400;275872;174576
18500;276820;174556
18600;277320;173844
18700;277820;173212
18800;278320;172560
18900;278820;171976
19000;279320;171372
19100;279820;170756
19200;280320;170240
19300;280820;169656
19400;281320;169172
19500;281820;168632
19600;282320;168016
19700;282820;167468
19800;283320;166900
19900;283820;166412
20000;284320;165936
20100;284820;165412
20200;285320;164940
20300;285820;164480
20400;286320;164080
20500;287060;163980
20600;288760;164844
20700;290460;165764
20800;292160;166720
20900;293860;167700
21000;295560;168764
21100;297260;169700
21200;298960;170720
21300;300660;171768
21400;302360;172852
21500;304060;174024
21600;305760;174960
21700;307460;175972
21800;309160;177020
21900;310860;178100
22000;312560;179248
22100;314260;180296
22200;315960;181404
22300;317660;182560
22400;319360;183744
22500;321060;184960
22600;322760;185988
22700;324460;186980
22800;326160;188048
22900;327860;189100
23000;329560;190220
23100;331260;191312
23200;332960;192400
23300;334660;193572
23400;336360;194700
23500;338060;195916
23600;339760;197072
23700;341460;198152
23800;343160;199316
23900;344860;200444
24000;346560;201664
24100;348260;202872
24200;349960;204052
24300;351660;205288
24400;353360;206528
24500;355060;207828
24600;356784;209092
24700;358584;210064
24800;360384;211088
24900;362184;212132
25000;363984;213220
25100;365784;214376
25200;367584;215424
25300;369384;216540
25400;371184;217692
25500;372984;218876
25600;374784;220160
25700;376584;221176
25800;378384;222292
25900;380184;223440
26000;381984;224624
26100;383784;225876
26200;385584;227020
26300;387384;228232
26400;389184;229488
26500;390984;230764
26600;392784;232092
26700;394584;233204
26800;396384;234304
26900;398184;235464
27000;399984;236628
27100;401784;237848
27200;403584;239040
27300;405384;240220
27400;407184;241492
27500;408984;242728
27600;410784;244048
27700;412584;245292
27800;414384;246476
27900;416184;247748
28000;417984;248976
28100;419784;250288
28200;421584;251596
28300;423384;252876
28400;425184;254224
28500;426984;255556
28600;428784;256964
28700;430612;258308
28800;432512;259392
28900;434412;260508
29000;436312;261652
29100;438212;262844
29200;440112;264096
29300;442012;265248
29400;443912;266468
29500;445812;267720
29600;447712;269008
29700;449612;270372
29800;451512;271500
29900;453412;272716
30000;455312;273968
30100;457212;275248
30200;459112;276612
30300;461012;277848
30400;462912;279168
30500;464812;280512
30600;466712;281892
30700;468612;283328
30800;470512;284528
30900;472412;285728
31000;474312;286988
31100;476212;288260
31200;478112;289584
31300;480012;290860
31400;481912;292148
31500;483812;293516
31600;485712;294864
31700;487612;296280
31800;489512;297620
31900;491412;298904
32000;493312;300288
32100;495212;301604
32200;497112;303020
32300;499012;304424
32400;500912;305808
32500;502812;307260
32600;504712;308692
32700;506612;310204
32800;508544;311632
32900;510544;312808
33000;512544;314036
33100;514544;315276
33200;516544;316576
33300;518544;317916
33400;520544;319180
33500;522544;320500
33600;524544;321856
33700;526544;323236
33800;528544;324692
33900;530544;325928
34000;532544;327248
34100;534544;328596
34200;536544;329980
34300;538544;331452
34400;540544;332784
34500;542544;334196
34600;544544;335644
34700;546544;337124
34800;548544;338672
34900;550544;339952
35000;552544;341260
35100;554544;342616
35200;556544;344000
35300;558544;345416
35400;560544;346788
35500;562544;348180
35600;564544;349648
35700;566544;351100
35800;568544;352620
35900;570544;354052
36000;572544;355440
36100;574544;356912
36200;576544;358340
36300;578544;359856
36400;580544;361360
36500;582544;362840
36600;584544;364404
36700;586544;365932
36800;588544;367552
36900;590040;368332
37000;590640;367612
37100;591240;366948
37200;591840;366288
37300;592440;365688
37400;593040;365124
37500;593640;364496
37600;594240;363920
37700;594840;363364
37800;595440;362852
37900;596040;362396
38000;596640;361744
38100;597240;361160
38200;597840;360612
38300;598440;360096
38400;599040;359680
38500;599640;359096
38600;600240;358612
38700;600840;358160
38800;601440;357744
38900;602040;357396
39000;602640;356764
39100;603240;356176
39200;603840;355632
39300;604440;355108
39400;605040;354636
39500;605640;354100
39600;606240;353600
39700;606840;353160
39800;607440;352724
39900;608040;352344
40000;608640;351872
40100;609240;351352
40200;609840;350924
40300;610440;350460
40400;611040;350080
40500;611640;349676
40600;612240;349260
40700;612840;348932
40800;613440;348560
40900;614040;348272
41000;615120;348460
41100;616920;349340
41200;618720;350288
41300;620520;351220
41400;622320;352228
41500;624120;353256
41600;625920;354240
41700;627720;355256
41800;629520;356300
41900;631320;357392
42000;633120;358528
42100;634920;359480
42200;636720;360500
42300;638520;361552
42400;640320;362640
42500;642120;363808
42600;643920;364836
42700;645720;365952
42800;647520;367104
42900;649320;368284
43000;651120;369548
43100;652920;370500
43200;654720;371520
43300;656520;372564
43400;658320;373644
43500;660120;374780
43600;661920;375840
43700;663720;376940
43800;665520;378100
43900;667320;379272
44000;669120;380496
44100;670920;381604
44200;672720;382692
44300;674520;383860
44400;676320;385008
44500;678120;386224
44600;679920;387420
44700;681720;388604
44800;683520;389888
44900;685320;391104
45000;687120;392420
45100;688920;393592
45200;690720;394576
45300;692520;395628
45400;694320;396660
45500;696120;397772
45600;697920;398896
45700;699720;399972
45800;701520;401100
45900;703320;402240
46000;705120;403440
46100;706920;404660
46200;708720;405724
46300;710520;406844
46400;712320;408000
46500;714120;409180
46600;715920;410444
46700;717720;411580
46800;719520;412800
46900;721320;414048
47000;723120;415332
47100;724920;416704
47200;726720;417744
47300;728520;418856
47400;730320;420004
47500;732120;421184
