n;swaps;comparisons
35700;118166;571312
35800;118601;573136
35900;119027;574930
36000;119450;576734
36100;119879;578522
36200;120323;580361
36300;120738;582162
36400;121164;583951
36500;121599;585757
36600;122032;587562
36700;122476;589399
36800;122900;591195
36900;123325;593003
37000;123727;594748
37100;124181;596615
37200;124620;598437
37300;125025;600192
37400;125479;602050
37500;125906;603830
37600;126335;605658
37700;126774;607463
37800;127191;609251
37900;127639;611088
38000;128058;612873
38100;128499;614694
38200;128917;616485
38300;129367;618303
38400;129788;620101
38500;130226;621896
38600;130671;623727
38700;131084;625517
38800;131514;627331
38900;131958;629146
39000;132383;630928
39100;132813;632745
39200;133245;634544
39300;133678;636355
39400;134108;638159
39500;134538;639963
39600;134984;641779
39700;135408;643568
39800;135829;645365
39900;136258;647138
40000;136691;648948
40100;137123;650763
40200;137549;652546
40300;137992;654373
40400;138418;656172
40500;138840;657941
40600;139277;659758
40700;139702;661557
40800;140125;663340
40900;140557;665143
41000;140986;666942
41100;141416;668746
41200;141842;670525
41300;142257;672293
41400;142689;674099
41500;143120;675892
41600;143560;677713
41700;143965;679463
41800;144395;681263
41900;144822;683031
42000;145252;684854
42100;145679;686641
42200;146107;688425
42300;146511;690183
42400;146943;691972
42500;147371;693769
42600;147779;695516
42700;148208;697320
42800;148625;699077
42900;149057;700893
43000;149474;702640
43100;149892;704408
43200;150323;706211
43300;150737;707988
43400;151158;709777
43500;151574;711552
43600;151992;713313
43700;152418;715089
43800;152817;716821
43900;153243;718613
44000;153659;720378
44100;154071;722158
44200;154481;723894
44300;154910;725707
44400;155336;727493
44500;155748;729253
44600;156157;731000
44700;156568;732764
44800;156983;734530
44900;157390;736278
45000;157812;738067
45100;158227;739826
45200;158632;741569
45300;159047;743335
45400;159446;745066
45500;159877;746866
45600;160275;748615
45700;160691;750382
45800;161097;752105
45900;161507;753868
46000;161922;755633
46100;162322;757359
46200;162725;759120
46300;163131;760880
46400;163542;762621
46500;163949;764365
46600;164350;766117
46700;164765;767873
46800;165169;769606
46900;165566;771344
47000;165980;773107
47100;166367;774818
47200;166789;776602
47300;167188;778351
47400;167576;780052
47500;167994;781820
47600;168394;783563
47700;168802;785329
47800;169184;787016
47900;169592;788775
48000;169993;790510
48100;170403;792267
48200;170800;793998
48300;171195;795735
48400;171605;797517
48500;171992;799185
48600;172384;800908
48700;172790;802661
48800;173187;804395
48900;173593;806136
49000;173981;807850
49100;174375;809594
49200;174773;811310
49300;175175;813053
49400;175571;814786
49500;175966;816507
49600;176354;818217
49700;176755;819967
49800;177140;821674
49900;177544;823419
50000;177932;825138
50100;178331;826885
50200;178737;828623
50300;179124;830347
50400;179502;832027
50500;179899;833771
50600;180295;835502
50700;180693;837237
50800;181076;838948
50900;181471;840670
51000;181866;842405
51100;182259;844132
51200;182642;845835
51300;183035;847551
51400;183429;849278
51500;183822;851026
51600;184209;852713
51700;184599;854436
51800;184986;856169
51900;185378;857896
52000;185769;859619
52100;186167;861362
52200;186549;863075
52300;186939;864768
52400;187318;866479
52500;187714;868223
52600;188105;869921
52700;188496;871652
52800;188874;873353
52900;189279;875103
53000;189664;876822
53100;190053;878543
53200;190443;880263
53300;190823;881961
53400;191212;883688
53500;191609;885425
53600;192003;887156
53700;192373;888843
53800;192777;890606
53900;193174;892322
54000;193548;894015
54100;193954;895774
54200;194333;897490
54300;194735;899212
54400;195103;900914
54500;195504;902670
54600;195919;904444
54700;196298;906128
54800;196692;907886
54900;197059;909545
55000;197462;911287
55100;197850;913023
55200;198254;914786
55300;198639;916501
55400;199032;918226
55500;199432;919963
55600;199815;921701
55700;200216;923439
55800;200612;925186
55900;200996;926901
56000;201394;928641
56100;201783;930355
56200;202199;932157
56300;202574;933835
56400;202971;935584
56500;203380;937336
56600;203758;939053
56700;204139;940772
56800;204555;942565
56900;204963;944316
57000;205345;946030
57100;205745;947792
57200;206158;949569
57300;206555;951304
57400;206935;953027
57500;207341;954780
57600;207755;956562
57700;208152;958302
57800;208555;960076
57900;208964;961829
58000;209347;963561
58100;209750;965310
58200;210155;967067
58300;210569;968855
58400;210971;970614
58500;211383;972380
58600;211787;974164
58700;212191;975909
58800;212582;977659
58900;213004;979455
59000;213403;981213
59100;213812;982988
59200;214237;984765
59300;214647;986557
59400;215080;988357
59500;215446;990080
59600;215895;991912
59700;216292;993671
59800;216729;995497
59900;217133;997245
60000;217552;999034
60100;217978;1000856
60200;218389;1002643
60300;218805;1004433
60400;219216;1006192
60500;219634;1007977
60600;220045;1009778
60700;220503;1011656
60800;220940;1013455
60900;221339;1015225
61000;221738;1016992
61100;222164;1018787
61200;222601;1020617
61300;223052;1022468
61400;223497;1024312
61500;223916;1026119
61600;224327;1027890
61700;224749;1029732
61800;225173;1031495
61900;225630;1033376
62000;226019;1035097
62100;226469;1036961
62200;226935;1038888
62300;227366;1040677
62400;227803;1042513
62500;228240;1044343
62600;228690;1046196
62700;229112;1048019
62800;229547;1049830
62900;229995;1051700
63000;230448;1053545
63100;230869;1055356
63200;231335;1057217
63300;231754;1059066
63400;232188;1060880
63500;232671;1062801
63600;233117;1064620
63700;233513;1066407
63800;234001;1068315
63900;234453;1070178
64000;234898;1072047
64100;235351;1073906
64200;235785;1075723
64300;236268;1077639
64400;236718;1079521
64500;237177;1081383
64600;237627;1083251
64700;238090;1085109
64800;238530;1086982
64900;238985;1088847
65000;239444;1090714
65100;239896;1092572
65200;240378;1094502
65300;240845;1096364
65400;241296;1098239
65500;241744;1100106
65600;242237;1102019
65700;242692;1103906
65800;243178;1105844
65900;243609;1107634
66000;244090;1109578
66100;244590;1111535
66200;245049;1113391
66300;245502;1115276
66400;245968;1117168
66500;246412;1118987
66600;246924;1120984
66700;247429;1122944
66800;247848;1124747
66900;248367;1126744
67000;248825;1128613
67100;249260;1130455
67200;249764;1132390
67300;250235;1134322
67400;250718;1136238
67500;251199;1138142
67600;251674;1140043
67700;252162;1141972
67800;252633;1143848
67900;253133;1145823
68000;253585;1147684
68100;254076;1149624
68200;254581;1151591
68300;255047;1153473
68400;255526;1155393
68500;256011;1157305
68600;256516;1159277
68700;257001;1161210
68800;257495;1163124
68900;257984;1165067
69000;258456;1166950
69100;258938;1168902
69200;259418;1170797
69300;259924;1172754
69400;260420;1174697
69500;260888;1176602
69600;261390;1178551
69700;261900;1180528
69800;262353;1182384
69900;262864;1184350
70000;263342;1186268
70100;263863;1188273
70200;264357;1190188
70300;264868;1192162
70400;265325;1194046
70500;265810;1195953
70600;266324;1197927
70700;266825;1199895
70800;267332;1201878
70900;267826;1203800
71000;268304;1205697
71100;268816;1207667
71200;269319;1209600
71300;269811;1211565
71400;270299;1213496
71500;270819;1215474
71600;271296;1217369
71700;271783;1219315
71800;272311;1221290
71900;272813;1223279
72000;273298;1225160
72100;273789;1227096
72200;274289;1229038
72300;274804;1231028
72400;275307;1232971
72500;275800;1234915
72600;276318;1236920
72700;276796;1238822
72800;277294;1240740
72900;277813;1242734
73000;278296;1244656
73100;278819;1246636
73200;279306;1248559
73300;279816;1250521
73400;280309;1252453
73500;280802;1254390
73600;281317;1256371
73700;281822;1258296
73800;282342;1260295
73900;282829;1262234
74000;283338;1264200
74100;283823;1266110
74200;284340;1268094
74300;284841;1270022
74400;285340;1271963
