n;avg;min;max
25800;1175647;897543;1443044
25900;1189332;825099;1474021
26000;1184881;882690;1601964
26100;1185374;806053;1699468
26200;1201547;853491;1633548
26300;1185541;897097;1488280
26400;1168478;928788;1401369
26500;1209905;912351;1445537
26600;1189701;851292;1439682
26700;1195122;920309;1549508
26800;1204807;896777;1460213
26900;1196444;870321;1828081
27000;1217220;906034;1565933
27100;1241059;889135;1628057
27200;1253068;911955;1672355
27300;1254997;936482;1531960
27400;1230858;931993;1660251
27500;1247516;962398;1672745
27600;1260195;952271;1572692
27700;1266021;973640;1578879
27800;1261427;962095;1553801
27900;1267446;940552;1595066
28000;1254160;909670;1704708
28100;1250159;945690;1580458
28200;1268568;978774;1622567
28300;1320162;928145;1828096
28400;1277200;960198;1716449
28500;1322946;943068;1820834
28600;1312586;967259;1775552
28700;1338199;948768;1713201
28800;1337678;1011998;1755717
28900;1328597;1044845;1682939
29000;1315017;979619;1807151
29100;1351017;1026890;1830043
29200;1319707;964494;1757885
29300;1336018;975871;1817213
29400;1347513;991291;1978862
29500;1324959;995041;1655319
