n;avg;min;max
26800;80303;29943;194054
26900;81572;27520;176001
27000;82270;28194;204208
27100;81744;29204;185656
27200;81743;30095;202471
27300;81847;30684;191594
27400;80868;29000;203827
27500;81278;30070;203158
27600;82442;30182;185087
27700;84515;30375;193418
27800;83835;29385;189070
27900;83926;30058;200000
28000;84265;30899;198678
28100;84610;28548;215846
28200;84632;30133;201672
28300;86274;31825;220141
28400;85191;29330;181646
28500;85791;28499;205344
28600;85784;30884;185500
28700;85491;28941;183712
28800;86618;29644;206292
28900;87862;30957;220892
29000;86681;30604;211981
29100;86475;30261;216889
29200;88653;31626;186160
29300;88568;30164;208065
29400;87816;31961;227627
29500;87845;31926;214641
29600;89068;32967;191703
29700;89252;32023;207560
29800;89123;33246;200139
29900;89533;30862;198526
30000;91973;31741;242100
30100;89876;33742;189570
30200;90455;30199;203027
30300;89601;36031;230085
30400;88921;33091;207137
30500;91549;30499;232278
30600;92944;33998;214582
30700;92522;32302;227094
30800;91405;34376;215291
30900;94104;31792;242028
31000;93717;34011;233324
31100;94668;35237;208384
31200;92480;32538;211065
31300;93975;32661;234329
31400;93156;33186;234905
31500;92847;36425;232148
31600;95401;33528;231122
31700;95885;35190;219625
31800;96091;36792;225965
31900;96756;34250;235746
32000;96337;37126;272068
32100;95531;33082;233378
32200;96742;34351;239393
32300;96825;35078;235355
32400;97730;33518;255129
32500;97418;33114;257705
32600;97228;35350;231872
32700;97267;36596;218825
32800;98646;34296;238353
32900;100094;32899;254592
33000;100951;36552;227433
33100;99769;37739;234357
33200;99548;35071;238634
33300;101098;36157;228063
33400;101589;35874;274375
33500;99516;37241;238704
33600;99578;36577;233646
33700;101013;36657;243932
33800;101352;35297;244435
33900;102650;35338;201848
34000;101387;35636;246061
34100;103828;35201;220762
34200;102407;35292;220670
34300;105040;36337;256446
34400;102778;39307;261651
34500;103508;37707;251804
34600;105296;36755;257861
34700;105420;36810;250843
34800;105247;36839;273846
34900;106522;36580;252066
35000;106697;36847;242584
35100;104594;36839;249381
35200;108634;37710;244297
35300;104065;36542;229911
35400;106726;36765;263375
35500;107195;39533;291031
35600;107195;38178;295180
35700;108510;38930;249582
35800;107484;38149;262706
35900;112110;38816;282392
36000;106325;39949;269831
36100;107005;36895;305375
36200;107960;42407;270191
36300;109815;37641;245598
36400;107163;41615;274168
36500;111236;40893;268659
36600;110157;38303;253419
36700;111060;41952;261790
36800;109748;38673;242774
36900;108796;39634;249469
37000;112653;42247;265115
37100;110728;40877;229361
37200;114008;41530;305501
37300;110549;41205;274751
37400;111025;39813;255578
37500;113327;40110;290318
37600;113382;41322;254857
37700;113922;39290;273752
37800;113087;40452;270609
37900;111708;40317;253479
38000;113837;40111;294847
38100;112197;40489;246487
38200;115556;39176;294362
38300;116720;40195;322091
38400;115908;42331;293275
38500;116931;41388;266018
38600;117406;41214;260374
38700;116882;41984;311492
38800;116221;45354;260395
38900;117538;41877;252311
39000;116752;43581;255314
39100;117909;43216;280869
