n;OSSelect;Select;RandSelect
304;37.75;3517;859
305;43.1;3616;883
306;39.2;3500;940
307;35.89;3297;939
308;39.56;3270;927
309;39.13;3461;863
310;37.6;3468;873
311;36.91;3542;895
312;37.01;3403;909
313;44.27;3469;908
314;41.73;3379;907
315;40.05;3497;934
316;44.9;3643;883
317;37.19;3481;915
318;48.1;3525;921
319;37.26;3782;934
320;37.35;3528;926
321;37.51;3276;959
322;45.23;3552;902
323;40.98;3800;951
324;45.93;3768;989
325;40.0;3547;868
326;39.29;3911;924
327;38.21;3833;945
328;41.41;3868;948
329;40.35;3979;986
330;37.05;3846;957
331;42.98;4079;928
332;42.66;4091;931
333;41.57;4080;926
334;45.41;4038;980
335;39.84;4074;1007
336;39.75;4034;956
337;49.77;4121;972
338;46.7;4258;953
339;39.74;4317;1004
340;52.19;4246;916
341;41.68;4356;997
342;39.05;4187;1017
343;44.82;3857;985
344;41.06;3927;990
345;46.65;4077;961
346;43.13;3931;974
347;46.36;4274;981
348;44.24;4266;949
349;41.1;4275;1064
350;42.46;4323;961
351;47.7;4298;1021
352;42.45;4450;1043
353;45.13;4479;956
354;46.14;4494;959
355;46.17;4514;991
356;50.03;4083;1024
357;44.56;3941;1013
358;45.8;3912;1026
359;44.85;3888;1065
360;43.46;3959;1031
361;46.28;4374;983
362;49.99;4115;1100
363;45.85;4277;1075
364;47.42;4259;1051
365;43.29;4150;1081
366;48.38;4209;1045
367;47.09;4510;1115
368;43.28;4275;1081
369;45.05;4246;1120
370;52.47;4281;1061
371;50.95;3968;1140
372;42.45;4868;1098
373;50.96;4874;1082
374;44.92;4847;1053
375;42.01;4649;1066
376;46.64;4868;1110
377;50.64;4864;1053
378;50.31;4881;1058
379;51.65;5128;1057
380;47.67;5063;1150
381;46.58;5193;1072
382;57.2;4966;1123
383;46.98;5101;1119
384;45.59;5262;1120
385;50.72;5207;1063
386;48.28;5073;1146
387;54.88;5254;1144
388;48.45;5239;1159
389;48.66;5285;1104
390;48.03;5326;1101
391;49.97;5599;1127
392;52.03;4617;1124
393;50.03;4632;1131
394;46.06;5373;1158
395;47.62;4712;1258
396;49.49;5003;1125
397;54.92;5303;1137
398;52.39;5424;1181
399;54.02;5355;1147
400;47.63;5464;1207
401;49.65;5437;1149
402;54.0;5595;1139
403;54.25;5338;1126
404;51.14;5631;1275
405;52.16;5494;1201
406;47.94;5047;1162
407;47.36;5005;1159
408;47.26;4727;1114
409;46.68;5005;1171
410;53.63;4797;1202
411;47.71;5167;1253
412;51.08;5007;1184
413;56.41;4749;1212
414;53.64;4742;1252
415;50.02;4705;1228
416;53.56;4771;1201
417;50.15;5358;1198
418;56.65;5479;1222
419;56.47;5056;1182
420;50.78;5152;1221
421;52.75;4806;1189
422;57.08;5567;1249
423;49.12;5630;1261
424;57.76;5466;1192
425;53.57;5758;1258
426;49.39;5692;1197
427;52.61;5627;1198
428;55.58;5899;1148
429;50.15;5647;1284
430;49.79;5926;1280
431;53.95;5876;1164
432;51.19;5831;1264
433;53.95;5909;1294
434;61.46;5657;1238
435;50.52;5936;1255
436;52.33;5916;1195
437;55.83;6074;1244
438;53.39;5964;1216
439;54.64;6113;1294
440;54.5;6157;1242
441;54.92;6152;1292
442;56.09;5742;1224
443;55.92;5936;1350
444;57.25;5584;1260
445;58.04;5776;1314
446;53.81;6193;1243
447;58.22;6218;1356
448;56.54;6202;1245
449;53.79;5945;1382
450;58.94;6235;1307
451;58.06;6068;1349
452;57.93;6090;1305
453;55.92;6193;1333
454;59.47;6347;1289
455;52.75;6190;1319
456;59.01;6152;1378
457;55.05;5476;1309
458;57.49;5323;1279
459;59.04;5317;1374
460;56.49;5362;1417
461;59.66;5884;1363
462;55.96;5499;1356
463;52.2;5591;1291
464;55.97;5537;1407
465;54.27;5827;1428
466;54.27;5557;1337
467;57.73;5945;1355
468;58.11;5969;1383
469;56.06;6173;1322
470;62.2;5955;1421
471;65.2;5132;1349
472;56.75;5698;1360
473;66.2;5624;1329
474;60.79;6001;1415
475;61.86;5786;1399
476;59.4;5884;1354
477;57.49;5976;1373
478;57.78;6162;1446
479;66.69;6067;1430
480;66.51;6598;1417
481;62.23;6423;1351
482;62.46;6769;1381
483;66.62;6475;1420
484;63.46;6603;1367
485;59.13;6547;1529
486;67.1;6934;1431
487;62.99;6893;1430
488;63.59;6583;1461
489;74.7;6999;1438
490;59.5;6565;1398
491;59.14;7031;1391
492;61.26;6322;1444
493;57.23;6174;1423
494;61.96;6182;1353
495;60.06;6149;1417
496;68.41;6257;1397
497;64.29;6913;1466
498;62.73;7099;1454
499;63.92;6919;1389
500;68.69;6765;1387
501;68.93;7099;1452
502;63.77;6892;1447
503;71.32;7101;1539
504;58.72;7068;1392
505;70.23;7067;1406
506;61.63;6607;1473
507;69.48;6180;1390
508;61.12;6529;1553
509;63.32;6609;1526
510;72.87;6077;1451
511;67.84;6811;1635
512;75.02;6298;1407
513;65.1;6395;1415
514;66.75;6496;1397
515;62.56;6376;1424
516;68.1;6194;1441
517;71.74;6645;1441
518;65.26;6850;1571
519;62.63;6510;1462
520;61.91;7461;1510
521;64.66;5868;1622
522;73.67;6922;1472
523;59.67;6761;1543
524;84.99;6735;1555
525;64.56;7242;1488
526;70.9;6916;1561
527;68.31;7341;1633
528;72.93;6977;1490
529;64.54;7522;1596
530;69.42;7364;1514
531;63.9;7399;1633
532;69.76;7521;1609
533;63.6;7428;1665
534;61.28;7497;1612
535;71.69;7375;1625
536;66.72;7300;1597
537;68.45;6950;1595
538;65.1;7257;1557
539;68.78;7324;1600
540;76.4;7062;1539
541;76.59;7442;1597
542;65.24;6628;1661
543;63.86;7216;1593
544;65.27;6511;1553
545;72.41;7349;1604
546;65.19;6721;1513
547;68.76;7246;1513
548;73.79;7237;1562
549;63.36;7287;1609
550;77.22;7244;1668
551;81.85;7247;1571
552;72.06;7462;1591
553;66.48;7429;1645
554;69.45;7501;1658
555;77.33;7417;1564
556;71.51;7541;1561
557;67.73;6702;1578
558;70.79;6861;1632
559;68.76;6838;1656
560;72.56;6804;1661
561;71.4;7846;1638
562;67.62;7131;1688
563;72.6;7070;1723
564;77.7;7477;1684
565;76.51;7208;1760
566;80.16;7245;1586
567;72.78;7371;1661
568;74.57;7799;1706
569;71.97;7451;1721
570;74.69;8231;1726
571;79.52;6474;1665
572;75.0;7121;1654
573;73.48;7195;1693
574;66.27;7285;1653
575;71.18;7160;1700
576;67.42;7928;1716
577;74.29;7502;1665
578;72.39;7541;1726
579;84.64;7375;1608
580;71.86;7315;1616
581;77.69;7606;1721
582;76.15;8014;1704
583;74.39;7687;1720
584;75.41;7984;1739
585;69.75;7932;1653
586;81.05;8465;1785
587;77.63;8306;1742
588;77.34;8206;1687
589;84.18;8642;1744
590;75.97;8608;1827
591;79.96;8747;1726
592;81.47;7442;1874
593;74.54;7546;1701
594;71.18;8184;1733
595;78.65;8474;1702
